,chars,words,commas,apostrophes,punctuations,avg_word_length,sentences,questions,avg_word_sentence,POS,POS/total_words,prompt_words,prompt_words/total_words,synonym_words,synonym_words/total_words,unstemmed,stemmed,score
0,3406.0,785.0,0.0,16.0,26.0,4.338853503184714,39.0,2.0,20.128205128205128,759.6423294219904,0.967697234932472,150.0,0.1910828025477707,136.0,0.1732484076433121,750,748,34
1,4029.0,858.0,33.0,9.0,7.0,4.695804195804196,29.0,1.0,29.586206896551722,854.3247663551402,0.9957165109034268,163.0,0.18997668997668998,107.0,0.1247086247086247,750,750,46
2,4460.0,940.0,37.0,17.0,0.0,4.74468085106383,39.0,0.0,24.102564102564102,936.6595593461266,0.9964463397299219,250.0,0.26595744680851063,168.0,0.17872340425531916,750,750,40
3,3417.0,753.0,7.0,10.0,1.0,4.53784860557769,22.0,8.0,34.22727272727273,748.6551264980027,0.9942299156679982,169.0,0.2244355909694555,113.0,0.150066401062417,750,750,30
4,2927.0,702.0,3.0,2.0,1.0,4.169515669515669,27.0,5.0,26.0,677.9882352941177,0.9657952069716775,125.0,0.17806267806267806,110.0,0.15669515669515668,664,633,26
5,3768.0,840.0,35.0,29.0,13.0,4.485714285714286,55.0,9.0,15.272727272727273,837.9976105137396,0.9976162029925472,162.0,0.19285714285714287,114.0,0.1357142857142857,704,672,40
6,4418.0,980.0,38.0,25.0,4.0,4.5081632653061225,83.0,5.0,11.80722891566265,975.6639316239316,0.9955754404325833,221.0,0.22551020408163266,104.0,0.10612244897959183,750,750,40
7,1474.0,318.0,5.0,4.0,0.0,4.635220125786163,18.0,0.0,17.666666666666668,316.3227848101266,0.9947257383966246,75.0,0.2358490566037736,63.0,0.19811320754716982,348,341,34
8,4103.0,853.0,37.0,29.0,0.0,4.810082063305979,46.0,2.0,18.543478260869566,848.656482569526,0.9949079514296906,236.0,0.27667057444314186,129.0,0.15123094958968347,750,750,41
9,3015.0,630.0,30.0,19.0,4.0,4.785714285714286,34.0,5.0,18.529411764705884,626.993620414673,0.9952279689121795,159.0,0.2523809523809524,74.0,0.11746031746031746,699,684,40
10,2280.0,487.0,24.0,6.0,0.0,4.681724845995893,18.0,0.0,27.055555555555557,485.3264604810996,0.9965635738831614,129.0,0.2648870636550308,57.0,0.11704312114989733,618,602,31
11,4716.0,910.0,32.0,22.0,8.0,5.182417582417583,32.0,0.0,28.4375,905.6571218795889,0.9952276064610867,193.0,0.21208791208791208,99.0,0.1087912087912088,750,750,44
12,3835.0,860.0,7.0,4.0,0.0,4.459302325581396,16.0,0.0,53.75,838.9928571428571,0.9755730897009967,141.0,0.16395348837209303,139.0,0.16162790697674417,750,750,31
13,2996.0,626.0,17.0,8.0,0.0,4.785942492012779,30.0,3.0,20.866666666666667,616.3150537634409,0.9845288398777011,150.0,0.23961661341853036,98.0,0.15654952076677317,631,601,36
14,4402.0,922.0,51.0,30.0,9.0,4.774403470715835,45.0,6.0,20.488888888888887,918.3275299238303,0.9960168437351739,206.0,0.22342733188720174,86.0,0.09327548806941431,750,750,43
15,743.0,145.0,0.0,2.0,0.0,5.124137931034483,10.0,0.0,14.5,143.3239436619718,0.9884409907722194,24.0,0.16551724137931034,22.0,0.15172413793103448,192,187,20
16,3826.0,798.0,29.0,16.0,0.0,4.794486215538847,36.0,6.0,22.166666666666668,795.3266331658291,0.9966499162479061,186.0,0.23308270676691728,117.0,0.14661654135338345,750,750,45
17,2739.0,585.0,9.0,11.0,6.0,4.682051282051282,30.0,2.0,19.5,580.6518010291595,0.9925671812464265,115.0,0.19658119658119658,82.0,0.14017094017094017,666,654,40
18,3706.0,827.0,24.0,11.0,0.0,4.481257557436518,55.0,0.0,15.036363636363637,820.9878640776699,0.9927301863091534,201.0,0.2430471584038694,99.0,0.11970979443772672,750,750,30
19,1547.0,326.0,12.0,2.0,0.0,4.745398773006135,29.0,1.0,11.241379310344827,321.6521739130435,0.9866631101627101,96.0,0.294478527607362,44.0,0.13496932515337423,387,377,35
20,3250.0,698.0,33.0,8.0,0.0,4.656160458452722,27.0,1.0,25.85185185185185,696.3285440613028,0.9976053639846745,177.0,0.25358166189111747,90.0,0.12893982808022922,750,750,40
21,4533.0,937.0,16.0,13.0,24.0,4.83778014941302,37.0,0.0,25.324324324324323,931.6552584670233,0.9942959001782532,191.0,0.20384204909284953,77.0,0.08217716115261472,750,750,42
22,2670.0,553.0,15.0,11.0,0.0,4.8282097649186255,29.0,0.0,19.06896551724138,539.3271490414348,0.9752751338904789,109.0,0.19710669077757687,67.0,0.12115732368896925,642,626,34
23,4150.0,920.0,18.0,13.0,1.0,4.510869565217392,34.0,7.0,27.058823529411764,911.9868995633187,0.9912901082209986,188.0,0.20434782608695654,140.0,0.15217391304347827,750,750,33
24,1890.0,392.0,8.0,6.0,0.0,4.821428571428571,22.0,0.0,17.818181818181817,389.31965811965813,0.9931623931623932,99.0,0.25255102040816324,58.0,0.14795918367346939,492,480,38
25,3489.0,755.0,10.0,7.0,1.0,4.621192052980132,38.0,1.0,19.86842105263158,746.9946452476573,0.989396881122725,168.0,0.22251655629139072,103.0,0.13642384105960265,750,750,36
26,3135.0,686.0,21.0,11.0,0.0,4.569970845481049,41.0,0.0,16.73170731707317,683.3255360623781,0.996101364522417,149.0,0.21720116618075802,83.0,0.12099125364431487,750,750,45
27,4236.0,897.0,16.0,11.0,1.0,4.722408026755853,40.0,0.0,22.425,892.9910614525139,0.9955307262569831,202.0,0.22519509476031216,112.0,0.12486064659977704,750,750,31
28,1265.0,270.0,20.0,7.0,3.0,4.685185185185185,13.0,1.0,20.76923076923077,269.6641791044776,0.9987562189054727,86.0,0.31851851851851853,38.0,0.14074074074074075,307,299,30
29,3778.0,804.0,39.0,8.0,0.0,4.699004975124378,19.0,0.0,42.31578947368421,797.6558333333332,0.9921092454394692,170.0,0.21144278606965175,120.0,0.14925373134328357,750,750,34
30,3837.0,780.0,5.0,10.0,0.0,4.9192307692307695,36.0,0.0,21.666666666666668,776.6606606606606,0.9957187957187956,177.0,0.22692307692307692,79.0,0.10128205128205128,750,720,33
31,4429.0,958.0,20.0,28.0,0.0,4.623173277661795,60.0,2.0,15.966666666666667,951.6534170153417,0.9933751743375174,209.0,0.21816283924843424,153.0,0.15970772442588727,750,750,40
32,3920.0,869.0,51.0,18.0,1.0,4.5109321058688145,58.0,7.0,14.982758620689655,864.6566705113419,0.9950019223375626,226.0,0.2600690448791715,121.0,0.13924050632911392,750,750,47
33,4493.0,960.0,61.0,7.0,1.0,4.680208333333334,52.0,1.0,18.46153846153846,955.9916492693111,0.9958246346555324,235.0,0.24479166666666666,82.0,0.08541666666666667,750,750,30
34,4510.0,951.0,25.0,18.0,1.0,4.742376445846477,59.0,1.0,16.11864406779661,943.3171759747102,0.9919213206884439,210.0,0.22082018927444794,101.0,0.10620399579390116,750,750,40
35,2402.0,518.0,27.0,10.0,2.0,4.637065637065637,20.0,3.0,25.9,514.3268482490272,0.9929089734537204,135.0,0.2606177606177606,72.0,0.138996138996139,571,556,32
36,4273.0,912.0,5.0,11.0,0.0,4.68530701754386,51.0,2.0,17.88235294117647,907.323076923077,0.994871794871795,202.0,0.22149122807017543,110.0,0.1206140350877193,750,750,40
37,1472.0,324.0,8.0,4.0,0.0,4.54320987654321,7.0,0.0,46.285714285714285,320.98753894081,0.9907022806815123,69.0,0.21296296296296297,43.0,0.13271604938271606,371,366,30
38,4683.0,965.0,54.0,11.0,0.0,4.852849740932642,47.0,4.0,20.53191489361702,961.3277893277893,0.9961946003396781,257.0,0.26632124352331604,90.0,0.09326424870466321,750,750,40
39,4703.0,956.0,48.0,18.0,3.0,4.919456066945607,54.0,1.0,17.703703703703702,953.9958071278826,0.9979035639412998,251.0,0.2625523012552301,118.0,0.12343096234309624,750,750,45
40,3518.0,763.0,26.0,21.0,3.0,4.610747051114023,60.0,0.0,12.716666666666667,756.9894598155469,0.9921224899286328,177.0,0.23197903014416776,92.0,0.12057667103538663,750,750,45
41,4566.0,961.0,47.0,19.0,0.0,4.751300728407909,50.0,2.0,19.22,957.9937434827946,0.9968717413972888,244.0,0.25390218522372526,110.0,0.11446409989594172,750,750,45
42,4739.0,1003.0,39.0,14.0,20.0,4.724825523429711,80.0,6.0,12.5375,997.9900099900101,0.9950049950049951,262.0,0.2612163509471585,100.0,0.09970089730807577,750,750,50
43,2397.0,512.0,29.0,6.0,3.0,4.681640625,31.0,1.0,16.516129032258064,509.3228758169935,0.9947712418300654,150.0,0.29296875,86.0,0.16796875,527,514,39
