,chars,words,commas,apostrophes,punctuations,avg_word_length,sentences,questions,avg_word_sentence,POS,POS/total_words,prompt_words,prompt_words/total_words,synonym_words,synonym_words/total_words,unstemmed,stemmed,score
0,272.0,56.0,0.0,2.0,0.0,4.857142857142857,3.0,0.0,18.666666666666668,54.96296296296296,0.9814814814814815,43.0,0.7678571428571429,18.0,0.32142857142857145,70,72,1
1,1013.0,203.0,7.0,5.0,1.0,4.990147783251231,12.0,0.0,16.916666666666668,200.98009950248758,0.9900497512437811,149.0,0.7339901477832512,84.0,0.41379310344827586,254,254,2
2,521.0,108.0,1.0,2.0,1.0,4.824074074074074,7.0,0.0,15.428571428571429,103.98058252427184,0.9627831715210355,71.0,0.6574074074074074,48.0,0.4444444444444444,156,153,1
3,441.0,95.0,1.0,2.0,0.0,4.6421052631578945,2.0,2.0,47.5,91.63736263736264,0.9646038172353962,58.0,0.6105263157894737,35.0,0.3684210526315789,140,138,1
4,702.0,143.0,2.0,2.0,0.0,4.909090909090909,4.0,0.0,35.75,138.9855072463768,0.9719266241005371,99.0,0.6923076923076923,52.0,0.36363636363636365,186,185,2
5,396.0,81.0,4.0,2.0,0.0,4.888888888888889,5.0,0.0,16.2,80.0,0.9876543209876543,52.0,0.6419753086419753,29.0,0.35802469135802467,110,109,1
6,219.0,49.0,0.0,2.0,0.0,4.469387755102041,4.0,0.0,12.25,47.65217391304348,0.9724933451641525,33.0,0.673469387755102,21.0,0.42857142857142855,69,70,1
7,544.0,123.0,1.0,2.0,0.0,4.4227642276422765,8.0,0.0,15.375,119.98319327731092,0.9754731160756985,71.0,0.5772357723577236,54.0,0.43902439024390244,152,151,0
8,533.0,105.0,3.0,2.0,1.0,5.076190476190476,7.0,0.0,15.0,102.98039215686273,0.9807656395891688,73.0,0.6952380952380952,47.0,0.44761904761904764,152,152,2
9,907.0,172.0,10.0,2.0,2.0,5.273255813953488,9.0,0.0,19.11111111111111,171.32549019607845,0.9960784313725491,106.0,0.6162790697674418,83.0,0.48255813953488375,219,216,3
10,972.0,194.0,5.0,2.0,1.0,5.010309278350515,12.0,0.0,16.166666666666668,190.65263157894736,0.9827455236028214,136.0,0.7010309278350515,69.0,0.3556701030927835,277,270,3
11,499.0,106.0,3.0,2.0,1.0,4.7075471698113205,5.0,0.0,21.2,104.64102564102565,0.9871794871794872,65.0,0.6132075471698113,40.0,0.37735849056603776,146,142,1
12,785.0,153.0,2.0,4.0,0.0,5.130718954248366,8.0,0.0,19.125,150.3111111111111,0.9824255628177196,106.0,0.6928104575163399,61.0,0.39869281045751637,203,200,3
13,482.0,94.0,3.0,2.0,0.0,5.127659574468085,5.0,0.0,18.8,92.65934065934066,0.9857376665887304,63.0,0.6702127659574468,36.0,0.3829787234042553,122,124,2
14,415.0,81.0,3.0,2.0,1.0,5.1234567901234565,3.0,0.0,27.0,76.31555555555555,0.9421673525377228,54.0,0.6666666666666666,37.0,0.4567901234567901,123,125,1
15,679.0,137.0,2.0,2.0,0.0,4.956204379562044,7.0,0.0,19.571428571428573,134.98507462686567,0.9852925155245669,96.0,0.7007299270072993,53.0,0.38686131386861317,188,187,2
16,608.0,118.0,5.0,2.0,0.0,5.1525423728813555,5.0,0.0,23.6,115.6608187134503,0.9801764297750025,67.0,0.5677966101694916,47.0,0.3983050847457627,177,170,2
17,604.0,120.0,3.0,3.0,0.0,5.033333333333333,9.0,0.0,13.333333333333334,117.62711864406779,0.980225988700565,73.0,0.6083333333333333,45.0,0.375,168,167,2
18,511.0,104.0,6.0,2.0,0.0,4.913461538461538,5.0,0.0,20.8,102.66006600660066,0.9871160192942371,77.0,0.7403846153846154,42.0,0.40384615384615385,137,132,1
19,528.0,107.0,6.0,4.0,0.0,4.934579439252336,7.0,0.0,15.285714285714286,104.32038834951456,0.9749569004627529,82.0,0.7663551401869159,43.0,0.40186915887850466,149,145,2
20,282.0,59.0,2.0,2.0,0.0,4.779661016949152,2.0,0.0,29.5,57.0,0.9661016949152542,42.0,0.711864406779661,28.0,0.4745762711864407,84,84,2
21,170.0,37.0,0.0,2.0,0.0,4.594594594594595,1.0,0.0,37.0,36.0,0.972972972972973,19.0,0.5135135135135135,16.0,0.43243243243243246,56,57,1
22,751.0,137.0,1.0,2.0,0.0,5.481751824817518,7.0,0.0,19.571428571428573,134.66165413533835,0.982931782009769,79.0,0.5766423357664233,50.0,0.36496350364963503,212,211,2
23,320.0,69.0,0.0,2.0,0.0,4.63768115942029,3.0,0.0,23.0,67.0,0.9710144927536232,44.0,0.6376811594202898,32.0,0.463768115942029,99,101,1
24,606.0,128.0,5.0,4.0,0.0,4.734375,6.0,0.0,21.333333333333332,126.64550264550265,0.9894179894179894,94.0,0.734375,55.0,0.4296875,179,178,2
25,1023.0,210.0,12.0,2.0,1.0,4.871428571428571,8.0,0.0,26.25,203.6437908496732,0.9697323373793961,134.0,0.638095238095238,89.0,0.4238095238095238,285,281,3
26,198.0,43.0,0.0,2.0,0.0,4.604651162790698,1.0,0.0,43.0,42.0,0.9767441860465116,27.0,0.627906976744186,16.0,0.37209302325581395,64,64,1
27,963.0,187.0,3.0,2.0,0.0,5.149732620320855,12.0,0.0,15.583333333333334,183.97826086956522,0.9838409672169263,119.0,0.6363636363636364,66.0,0.35294117647058826,250,240,3
28,509.0,102.0,6.0,2.0,0.0,4.990196078431373,5.0,0.0,20.4,98.27946127946129,0.963524130190797,71.0,0.696078431372549,37.0,0.3627450980392157,141,142,2
29,794.0,157.0,7.0,2.0,0.0,5.057324840764331,8.0,0.0,19.625,152.29847494553377,0.9700539805448011,100.0,0.6369426751592356,66.0,0.42038216560509556,221,215,3
30,778.0,156.0,3.0,2.0,0.0,4.987179487179487,7.0,6.0,22.285714285714285,153.3115468409586,0.9827663259035808,101.0,0.6474358974358975,52.0,0.3333333333333333,193,190,1
31,521.0,103.0,0.0,2.0,0.0,5.058252427184466,5.0,0.0,20.6,102.32013201320132,0.9933993399339933,75.0,0.7281553398058253,43.0,0.4174757281553398,135,136,1
32,106.0,22.0,0.0,2.0,0.0,4.818181818181818,1.0,0.0,22.0,21.0,0.9545454545454546,9.0,0.4090909090909091,4.0,0.18181818181818182,34,34,1
33,454.0,97.0,4.0,2.0,0.0,4.680412371134021,5.0,0.0,19.4,95.65957446808511,0.9861811800833516,63.0,0.6494845360824743,38.0,0.3917525773195876,123,119,0
34,241.0,48.0,0.0,2.0,0.0,5.020833333333333,2.0,0.0,24.0,47.0,0.9791666666666666,33.0,0.6875,21.0,0.4375,69,68,1
35,941.0,180.0,13.0,4.0,0.0,5.227777777777778,8.0,0.0,22.5,178.31460674157302,0.99063670411985,120.0,0.6666666666666666,63.0,0.35,238,237,3
36,718.0,143.0,8.0,2.0,0.0,5.020979020979021,7.0,0.0,20.428571428571427,140.32374100719423,0.9812849021482114,98.0,0.6853146853146853,52.0,0.36363636363636365,184,179,2
37,1158.0,236.0,13.0,2.0,0.0,4.906779661016949,11.0,0.0,21.454545454545453,230.30172413793102,0.9758547632963178,153.0,0.6483050847457628,87.0,0.3686440677966102,310,305,3
38,383.0,82.0,0.0,2.0,0.0,4.670731707317073,6.0,0.0,13.666666666666666,80.31645569620252,0.9794689719049088,54.0,0.6585365853658537,35.0,0.4268292682926829,121,121,1
39,448.0,91.0,0.0,2.0,0.0,4.923076923076923,5.0,0.0,18.2,90.3183520599251,0.9925093632958802,54.0,0.5934065934065934,35.0,0.38461538461538464,136,135,2
40,363.0,78.0,0.0,2.0,0.0,4.653846153846154,3.0,0.0,26.0,75.31531531531532,0.9655809655809656,44.0,0.5641025641025641,37.0,0.47435897435897434,110,110,1
