,chars,words,commas,apostrophes,punctuations,avg_word_length,sentences,questions,avg_word_sentence,POS,POS/total_words,prompt_words,prompt_words/total_words,synonym_words,synonym_words/total_words,unstemmed,stemmed,score
0,1908.0,389.0,18.0,7.0,5.0,4.904884318766067,10.0,2.0,38.9,12.397402597402598,0.03186992955630488,155.0,0.39845758354755784,88.0,0.2262210796915167,446,434,8
1,2309.0,459.0,12.0,5.0,1.0,5.030501089324619,18.0,1.0,25.5,21.76190476190476,0.04741155721547878,156.0,0.33986928104575165,84.0,0.1830065359477124,548,524,9
2,1560.0,310.0,9.0,6.0,0.0,5.032258064516129,14.0,0.0,22.142857142857142,22.814814814814817,0.07359617682198329,151.0,0.4870967741935484,100.0,0.3225806451612903,391,369,7
3,3130.0,574.0,13.0,7.0,2.0,5.452961672473868,24.0,1.0,23.916666666666668,20.07017543859649,0.03496546243657925,181.0,0.3153310104529617,117.0,0.2038327526132404,678,650,10
4,2615.0,520.0,13.0,7.0,0.0,5.028846153846154,30.0,0.0,17.333333333333332,15.058139534883722,0.028957960644007158,211.0,0.40576923076923077,107.0,0.20576923076923076,587,565,8
5,1284.0,269.0,3.0,2.0,1.0,4.773234200743494,14.0,2.0,19.214285714285715,18.807017543859647,0.06991456336007304,112.0,0.4163568773234201,57.0,0.21189591078066913,340,337,8
6,2871.0,577.0,35.0,10.0,0.0,4.975736568457539,26.0,4.0,22.192307692307693,9.031413612565444,0.015652363280009435,257.0,0.44540727902946275,124.0,0.21490467937608318,662,629,10
7,2776.0,564.0,11.0,16.0,2.0,4.921985815602837,35.0,3.0,16.114285714285714,26.42738095238095,0.04685705842620736,244.0,0.4326241134751773,146.0,0.25886524822695034,589,569,10
8,2458.0,508.0,16.0,13.0,3.0,4.838582677165355,28.0,6.0,18.142857142857142,20.414021164021165,0.04018508103153773,181.0,0.3562992125984252,104.0,0.2047244094488189,606,591,9
9,2676.0,563.0,14.0,14.0,0.0,4.753108348134991,24.0,2.0,23.458333333333332,21.409660107334528,0.038027815465958306,218.0,0.3872113676731794,117.0,0.20781527531083482,647,625,9
10,1988.0,369.0,13.0,6.0,1.0,5.387533875338754,20.0,1.0,18.45,14.411872146118721,0.03905656408162255,138.0,0.37398373983739835,77.0,0.2086720867208672,507,498,8
11,2204.0,429.0,0.0,10.0,0.0,5.137529137529137,25.0,0.0,17.16,31.145882352941175,0.07260112436583024,143.0,0.3333333333333333,74.0,0.17249417249417248,444,426,8
12,1017.0,212.0,0.0,2.0,0.0,4.797169811320755,6.0,0.0,35.333333333333336,4.374800637958533,0.020635852065842137,75.0,0.35377358490566035,50.0,0.2358490566037736,300,288,7
13,1649.0,334.0,0.0,2.0,0.0,4.937125748502994,25.0,0.0,13.36,22.803212851405622,0.06827309236947791,136.0,0.40718562874251496,70.0,0.20958083832335328,364,360,6
14,1015.0,199.0,7.0,2.0,0.0,5.100502512562814,13.0,0.0,15.307692307692308,7.071428571428571,0.035534816941852114,115.0,0.5778894472361809,60.0,0.3015075376884422,252,247,6
15,3213.0,596.0,23.0,9.0,0.0,5.390939597315437,34.0,1.0,17.529411764705884,16.054054054054053,0.02693633230545982,269.0,0.4513422818791946,141.0,0.23657718120805368,692,677,12
16,1854.0,387.0,18.0,14.0,0.0,4.790697674418604,17.0,1.0,22.764705882352942,21.779808529155787,0.05627857501073847,154.0,0.3979328165374677,93.0,0.24031007751937986,400,388,8
17,2006.0,419.0,26.0,9.0,0.0,4.787589498806683,15.0,0.0,27.933333333333334,25.790660225442835,0.06155288836621202,185.0,0.441527446300716,109.0,0.26014319809069214,472,460,8
18,374.0,76.0,0.0,2.0,0.0,4.921052631578948,6.0,0.0,12.666666666666666,0.6854460093896714,0.00901902643933778,22.0,0.2894736842105263,6.0,0.07894736842105263,110,110,4
19,881.0,181.0,3.0,4.0,2.0,4.867403314917127,10.0,0.0,18.1,11.124293785310734,0.061460186659175325,69.0,0.3812154696132597,44.0,0.2430939226519337,226,221,6
