chars,words,commas,apostrophes,punctuations,avg_word_length,sentences,questions,avg_word_sentence,POS,POS/total_words,prompt_words,prompt_words/total_words,synonym_words,synonym_words/total_words,unstemmed,stemmed,score
311.0,63.0,0.0,2.0,0.0,4.936507936507937,3.0,0.0,21.0,61.0,0.9682539682539683,41.0,0.6507936507936508,32.0,0.5079365079365079,93,94,0
215.0,43.0,0.0,3.0,0.0,5.0,1.0,0.0,43.0,42.65040650406504,0.991869918699187,29.0,0.6744186046511628,15.0,0.3488372093023256,66,68,0
809.0,151.0,6.0,2.0,2.0,5.357615894039735,5.0,0.0,30.2,149.66216216216216,0.9911401467692859,107.0,0.7086092715231788,59.0,0.39072847682119205,177,175,3
390.0,73.0,0.0,2.0,0.0,5.342465753424658,6.0,0.0,12.166666666666666,70.62857142857143,0.9675146771037183,47.0,0.6438356164383562,32.0,0.4383561643835616,105,107,2
720.0,143.0,4.0,2.0,0.0,5.034965034965035,9.0,0.0,15.88888888888889,140.9857142857143,0.985914085914086,113.0,0.7902097902097902,62.0,0.43356643356643354,177,177,2
409.0,78.0,0.0,2.0,0.0,5.243589743589744,5.0,0.0,15.6,76.97368421052632,0.9868421052631579,60.0,0.7692307692307693,28.0,0.358974358974359,107,108,1
510.0,102.0,5.0,4.0,0.0,5.0,3.0,0.0,34.0,101.66,0.9966666666666666,83.0,0.8137254901960784,38.0,0.37254901960784315,138,139,0
468.0,92.0,0.0,6.0,0.0,5.086956521739131,4.0,0.0,23.0,91.65925925925926,0.9962962962962962,66.0,0.717391304347826,28.0,0.30434782608695654,115,117,2
172.0,36.0,0.0,2.0,0.0,4.777777777777778,2.0,0.0,18.0,34.64646464646464,0.962401795735129,26.0,0.7222222222222222,15.0,0.4166666666666667,55,56,1
609.0,130.0,5.0,4.0,0.0,4.684615384615385,8.0,0.0,16.25,128.984375,0.9921875,106.0,0.8153846153846154,50.0,0.38461538461538464,166,167,2
940.0,197.0,5.0,2.0,0.0,4.771573604060913,8.0,0.0,24.625,190.97905759162305,0.9694368405666145,146.0,0.7411167512690355,70.0,0.3553299492385787,238,230,2
212.0,45.0,0.0,2.0,0.0,4.711111111111111,1.0,0.0,45.0,43.3015873015873,0.9622574955908288,31.0,0.6888888888888889,26.0,0.5777777777777777,67,69,0
188.0,34.0,0.0,2.0,0.0,5.529411764705882,1.0,0.0,34.0,32.64516129032258,0.9601518026565463,26.0,0.7647058823529411,11.0,0.3235294117647059,46,48,1
1026.0,194.0,10.0,2.0,0.0,5.288659793814433,7.0,0.0,27.714285714285715,191.97916666666666,0.9895833333333333,139.0,0.7164948453608248,78.0,0.4020618556701031,261,257,2
397.0,76.0,0.0,2.0,0.0,5.223684210526316,3.0,0.0,25.333333333333332,75.0,0.9868421052631579,51.0,0.6710526315789473,26.0,0.34210526315789475,115,114,0
245.0,52.0,0.0,2.0,0.0,4.711538461538462,2.0,0.0,26.0,51.0,0.9807692307692307,35.0,0.6730769230769231,18.0,0.34615384615384615,84,84,1
480.0,97.0,2.0,2.0,0.0,4.948453608247423,6.0,0.0,16.166666666666668,94.97872340425532,0.9791620969510858,70.0,0.7216494845360825,35.0,0.36082474226804123,127,128,2
204.0,39.0,0.0,2.0,0.0,5.230769230769231,2.0,0.0,19.5,36.2952380952381,0.9306471306471307,21.0,0.5384615384615384,8.0,0.20512820512820512,60,61,1
930.0,187.0,12.0,4.0,0.0,4.973262032085562,9.0,0.0,20.77777777777778,186.32612612612613,0.9963963963963964,141.0,0.7540106951871658,56.0,0.2994652406417112,196,193,3
268.0,54.0,0.0,2.0,0.0,4.962962962962963,2.0,0.0,27.0,52.65359477124183,0.9750665698378116,38.0,0.7037037037037037,23.0,0.42592592592592593,82,84,1
431.0,86.0,1.0,2.0,0.0,5.011627906976744,2.0,0.0,43.0,84.31726907630522,0.9804333613523863,61.0,0.7093023255813954,28.0,0.32558139534883723,121,122,1
221.0,44.0,0.0,2.0,0.0,5.0227272727272725,2.0,0.0,22.0,43.0,0.9772727272727273,20.0,0.45454545454545453,20.0,0.45454545454545453,70,71,1
782.0,160.0,16.0,2.0,0.0,4.8875,5.0,0.0,32.0,154.66230936819173,0.9666394335511983,106.0,0.6625,54.0,0.3375,209,209,3
254.0,50.0,0.0,2.0,0.0,5.08,2.0,0.0,25.0,48.65248226950355,0.973049645390071,35.0,0.7,20.0,0.4,81,82,1
460.0,96.0,2.0,2.0,0.0,4.791666666666667,4.0,0.0,24.0,93.63799283154123,0.9753957586618878,71.0,0.7395833333333334,36.0,0.375,142,139,2
1026.0,207.0,11.0,2.0,0.0,4.956521739130435,13.0,3.0,15.923076923076923,203.98039215686273,0.9854125224969215,153.0,0.7391304347826086,82.0,0.3961352657004831,239,234,2
578.0,123.0,1.0,2.0,0.0,4.699186991869919,5.0,0.0,24.6,119.96666666666665,0.9753387533875337,92.0,0.7479674796747967,51.0,0.4146341463414634,149,149,1
607.0,117.0,3.0,2.0,0.0,5.188034188034188,6.0,0.0,19.5,113.98230088495576,0.9742076998714168,71.0,0.6068376068376068,37.0,0.3162393162393162,164,157,2
749.0,146.0,5.0,2.0,0.0,5.13013698630137,6.0,0.0,24.333333333333332,143.31002331002333,0.9815755021234475,103.0,0.7054794520547946,59.0,0.4041095890410959,163,156,3
475.0,87.0,1.0,2.0,0.0,5.459770114942529,5.0,0.0,17.4,86.0,0.9885057471264368,57.0,0.6551724137931034,25.0,0.28735632183908044,120,117,1
288.0,61.0,0.0,2.0,0.0,4.721311475409836,5.0,0.0,12.2,59.6551724137931,0.9779536461277558,49.0,0.8032786885245902,28.0,0.45901639344262296,86,86,2
303.0,67.0,1.0,2.0,0.0,4.522388059701493,7.0,0.0,9.571428571428571,64.65608465608466,0.965016188896786,50.0,0.746268656716418,28.0,0.417910447761194,84,84,1
984.0,204.0,16.0,2.0,0.0,4.823529411764706,9.0,0.0,22.666666666666668,203.32673267326732,0.9966996699669967,141.0,0.6911764705882353,62.0,0.30392156862745096,241,235,3
548.0,101.0,4.0,2.0,0.0,5.425742574257426,6.0,0.0,16.833333333333332,98.9795918367347,0.9799959587795515,60.0,0.594059405940594,26.0,0.25742574257425743,138,136,2
511.0,100.0,1.0,2.0,0.0,5.11,3.0,0.0,33.333333333333336,96.99999999999999,0.9699999999999999,82.0,0.82,40.0,0.4,147,144,1
697.0,149.0,1.0,2.0,0.0,4.677852348993288,6.0,0.0,24.833333333333332,146.31050228310502,0.9819496797523827,117.0,0.785234899328859,73.0,0.4899328859060403,205,202,2
193.0,39.0,1.0,2.0,0.0,4.948717948717949,2.0,0.0,19.5,38.0,0.9743589743589743,28.0,0.717948717948718,16.0,0.41025641025641024,60,61,0
741.0,159.0,0.0,2.0,0.0,4.660377358490566,8.0,0.0,19.875,157.32478632478634,0.9894640649357632,99.0,0.6226415094339622,72.0,0.4528301886792453,211,209,2
204.0,41.0,0.0,2.0,0.0,4.975609756097561,3.0,0.0,13.666666666666666,40.0,0.975609756097561,21.0,0.5121951219512195,14.0,0.34146341463414637,63,63,0
853.0,168.0,7.0,2.0,0.0,5.0773809523809526,6.0,0.0,28.0,164.9878048780488,0.9820702671312428,132.0,0.7857142857142857,72.0,0.42857142857142855,214,213,3
