,chars,words,commas,apostrophes,punctuations,avg_word_length,POS,POS/total_words,prompt_words,prompt_words/total_words,synonym_words,synonym_words/total_words,unstemmed,stemmed,score
0,709.0,135.0,4.0,3.0,6.0,5.2518518518518515,133.64661654135338,0.9899749373433584,108.0,0.8,63.0,0.4666666666666667,203,201,2
1,1073.0,201.0,10.0,2.0,9.0,5.338308457711443,197.64309764309763,0.983298993249242,161.0,0.8009950248756219,79.0,0.39303482587064675,274,266,3
2,958.0,182.0,3.0,5.0,8.0,5.263736263736264,180.65185185185183,0.9925925925925925,161.0,0.8846153846153846,96.0,0.5274725274725275,242,237,4
3,1097.0,211.0,5.0,5.0,12.0,5.199052132701421,209.65390749601278,0.9936204146730463,167.0,0.7914691943127962,98.0,0.46445497630331756,267,269,1
4,947.0,176.0,2.0,4.0,10.0,5.380681818181818,173.30268199233717,0.9846743295019157,152.0,0.8636363636363636,94.0,0.5340909090909091,221,216,3
5,1063.0,191.0,6.0,7.0,10.0,5.56544502617801,188.30511463844798,0.9858906525573192,132.0,0.6910994764397905,71.0,0.3717277486910995,249,247,4
6,876.0,158.0,0.0,3.0,6.0,5.544303797468355,156.64957264957266,0.9914529914529915,135.0,0.8544303797468354,75.0,0.47468354430379744,216,211,3
7,817.0,145.0,8.0,5.0,5.0,5.63448275862069,143.31002331002333,0.9883449883449884,114.0,0.7862068965517242,59.0,0.4068965517241379,212,214,3
8,671.0,124.0,0.0,2.0,9.0,5.411290322580645,121.30578512396694,0.9782724606771528,98.0,0.7903225806451613,53.0,0.4274193548387097,187,181,3
9,776.0,149.0,4.0,3.0,12.0,5.208053691275167,147.6485260770975,0.9909297052154195,113.0,0.7583892617449665,57.0,0.3825503355704698,210,207,3
10,1413.0,264.0,10.0,5.0,15.0,5.3522727272727275,261.64885496183206,0.9910941475826972,192.0,0.7272727272727273,109.0,0.4128787878787879,347,342,3
11,1874.0,344.0,12.0,7.0,18.0,5.4476744186046515,341.98830409356725,0.9941520467836257,289.0,0.8401162790697675,156.0,0.45348837209302323,451,441,4
12,1229.0,226.0,0.0,6.0,9.0,5.438053097345133,224.31845238095238,0.9925595238095238,179.0,0.7920353982300885,105.0,0.4646017699115044,303,297,4
13,1163.0,219.0,6.0,6.0,13.0,5.310502283105023,216.6451612903226,0.989247311827957,182.0,0.8310502283105022,97.0,0.4429223744292237,276,273,3
14,769.0,150.0,6.0,3.0,6.0,5.126666666666667,148.98648648648648,0.9932432432432432,135.0,0.9,75.0,0.5,196,196,2
15,920.0,168.0,5.0,5.0,7.0,5.476190476190476,166.9879518072289,0.9939759036144578,130.0,0.7738095238095238,72.0,0.42857142857142855,222,221,3
16,812.0,157.0,6.0,3.0,8.0,5.171974522292993,155.98709677419356,0.9935483870967743,120.0,0.7643312101910829,59.0,0.37579617834394907,194,194,1
17,732.0,138.0,3.0,4.0,7.0,5.304347826086956,136.64705882352942,0.9901960784313726,109.0,0.7898550724637681,56.0,0.4057971014492754,193,189,3
18,511.0,96.0,3.0,3.0,3.0,5.322916666666667,95.31914893617021,0.9929078014184397,79.0,0.8229166666666666,44.0,0.4583333333333333,146,147,3
19,550.0,99.0,1.0,6.0,4.0,5.555555555555555,98.31958762886597,0.9931271477663229,89.0,0.898989898989899,48.0,0.48484848484848486,127,128,2
20,712.0,130.0,3.0,6.0,9.0,5.476923076923077,128.64583333333331,0.9895833333333331,105.0,0.8076923076923077,56.0,0.4307692307692308,170,168,3
21,1418.0,269.0,10.0,9.0,11.0,5.271375464684015,266.98501872659176,0.9925093632958801,220.0,0.8178438661710037,113.0,0.4200743494423792,333,324,4
22,983.0,199.0,7.0,4.0,12.0,4.939698492462312,198.326565143824,0.9966159052453468,161.0,0.8090452261306532,99.0,0.49748743718592964,242,245,2
23,1427.0,254.0,4.0,6.0,13.0,5.618110236220472,251.64814814814815,0.9907407407407408,191.0,0.7519685039370079,111.0,0.43700787401574803,317,308,4
24,661.0,127.0,3.0,5.0,6.0,5.2047244094488185,125.984,0.992,106.0,0.8346456692913385,58.0,0.4566929133858268,169,162,3
25,957.0,184.0,4.0,4.0,11.0,5.201086956521739,182.65201465201466,0.9926739926739927,146.0,0.7934782608695652,73.0,0.3967391304347826,251,248,2
26,1259.0,230.0,6.0,4.0,10.0,5.473913043478261,228.3187134502924,0.9926900584795322,203.0,0.8826086956521739,104.0,0.45217391304347826,306,298,3
27,1162.0,221.0,5.0,4.0,14.0,5.257918552036199,218.3089802130898,0.9878234398782344,186.0,0.8416289592760181,110.0,0.497737556561086,285,275,3
28,895.0,173.0,2.0,5.0,8.0,5.173410404624278,171.65107212475633,0.9922027290448342,135.0,0.7803468208092486,70.0,0.4046242774566474,223,217,3
29,643.0,119.0,2.0,2.0,5.0,5.4033613445378155,117.32183908045977,0.9858978073988216,105.0,0.8823529411764706,57.0,0.4789915966386555,164,159,3
30,1020.0,187.0,7.0,2.0,8.0,5.454545454545454,186.32612612612613,0.9963963963963964,151.0,0.8074866310160428,77.0,0.4117647058823529,246,237,4
31,1034.0,187.0,1.0,2.0,9.0,5.529411764705882,184.31521739130434,0.9856428737502906,165.0,0.8823529411764706,90.0,0.48128342245989303,263,253,3
32,361.0,69.0,0.0,4.0,4.0,5.231884057971015,68.31343283582089,0.990049751243781,60.0,0.8695652173913043,30.0,0.43478260869565216,108,110,2
33,596.0,111.0,0.0,2.0,7.0,5.36936936936937,108.98148148148148,0.9818151484818152,90.0,0.8108108108108109,49.0,0.44144144144144143,145,143,2
34,1200.0,223.0,6.0,4.0,11.0,5.381165919282512,222.32730015082956,0.9969834087481146,182.0,0.8161434977578476,107.0,0.4798206278026906,297,290,3
35,841.0,162.0,5.0,2.0,8.0,5.191358024691358,159.98742138364778,0.9875766752077024,123.0,0.7592592592592593,65.0,0.4012345679012346,214,213,2
36,742.0,145.0,5.0,2.0,7.0,5.117241379310345,142.30985915492957,0.9814473045167557,107.0,0.7379310344827587,61.0,0.4206896551724138,195,196,2
37,834.0,149.0,2.0,2.0,10.0,5.597315436241611,145.63470319634703,0.9774141154117251,134.0,0.8993288590604027,70.0,0.4697986577181208,201,193,3
38,886.0,165.0,7.0,4.0,7.0,5.36969696969697,164.3251533742331,0.9959100204498976,138.0,0.8363636363636363,78.0,0.4727272727272727,222,221,3
39,639.0,121.0,0.0,3.0,6.0,5.2809917355371905,118.64406779661016,0.980529485922398,101.0,0.8347107438016529,60.0,0.49586776859504134,155,152,2
40,566.0,123.0,2.0,4.0,4.0,4.6016260162601625,122.32231404958678,0.9944903581267218,86.0,0.6991869918699187,57.0,0.4634146341463415,162,164,1
41,548.0,108.0,0.0,2.0,5.0,5.074074074074074,105.30158730158729,0.9750146972369194,86.0,0.7962962962962963,47.0,0.4351851851851852,153,151,3
42,1211.0,223.0,8.0,5.0,14.0,5.430493273542601,220.9819004524887,0.9909502262443439,182.0,0.8161434977578476,108.0,0.484304932735426,289,281,3
43,533.0,111.0,4.0,2.0,5.0,4.801801801801802,108.98148148148148,0.9818151484818152,82.0,0.7387387387387387,44.0,0.3963963963963964,145,145,2
44,807.0,156.0,6.0,6.0,10.0,5.173076923076923,153.3115468409586,0.9827663259035808,138.0,0.8846153846153846,75.0,0.4807692307692308,201,191,2
45,785.0,147.0,4.0,2.0,12.0,5.340136054421769,144.98611111111111,0.9863000755857899,113.0,0.7687074829931972,55.0,0.3741496598639456,180,173,3
46,914.0,182.0,12.0,5.0,7.0,5.021978021978022,181.32592592592593,0.9962962962962963,136.0,0.7472527472527473,84.0,0.46153846153846156,225,226,3
47,1191.0,215.0,5.0,7.0,10.0,5.53953488372093,210.62597809076684,0.9796557120500783,184.0,0.8558139534883721,95.0,0.4418604651162791,276,274,4
48,1338.0,247.0,9.0,6.0,9.0,5.417004048582996,245.31972789115648,0.9931972789115647,216.0,0.8744939271255061,107.0,0.4331983805668016,317,306,4
49,1366.0,249.0,9.0,5.0,17.0,5.485943775100401,247.31983805668014,0.9932523616734142,199.0,0.7991967871485943,108.0,0.43373493975903615,312,310,3
50,859.0,163.0,3.0,5.0,8.0,5.269938650306749,161.65010351966873,0.9917184265010351,142.0,0.8711656441717791,73.0,0.44785276073619634,228,228,3
51,1019.0,209.0,4.0,4.0,18.0,4.875598086124402,207.31723027375202,0.9919484702093397,165.0,0.7894736842105263,75.0,0.3588516746411483,234,233,2
52,992.0,180.0,0.0,5.0,13.0,5.511111111111111,178.65168539325842,0.9925093632958801,146.0,0.8111111111111111,72.0,0.4,228,221,3
53,1069.0,191.0,3.0,4.0,7.0,5.596858638743456,188.97883597883597,0.9894179894179894,158.0,0.8272251308900523,79.0,0.41361256544502617,234,225,3
54,959.0,187.0,3.0,4.0,4.0,5.128342245989304,185.9891891891892,0.9945945945945946,155.0,0.8288770053475936,86.0,0.45989304812834225,226,220,2
55,1016.0,186.0,7.0,4.0,7.0,5.462365591397849,185.32608695652175,0.996376811594203,157.0,0.8440860215053764,82.0,0.44086021505376344,243,238,3
56,947.0,182.0,4.0,4.0,8.0,5.2032967032967035,180.3148148148148,0.9907407407407407,144.0,0.7912087912087912,83.0,0.45604395604395603,254,252,3
57,727.0,146.0,3.0,4.0,11.0,4.97945205479452,142.62037037037038,0.976851851851852,116.0,0.7945205479452054,68.0,0.4657534246575342,198,197,1
58,1257.0,229.0,10.0,7.0,12.0,5.489082969432315,226.30983847283406,0.988252569750367,190.0,0.8296943231441049,101.0,0.4410480349344978,285,274,3
59,502.0,96.0,2.0,6.0,4.0,5.229166666666667,95.65957446808511,0.9964539007092199,81.0,0.84375,43.0,0.4479166666666667,133,134,2
60,1067.0,199.0,2.0,4.0,8.0,5.36180904522613,197.31641285956007,0.9915397631133672,170.0,0.8542713567839196,80.0,0.4020100502512563,268,262,4
61,924.0,180.0,3.0,7.0,8.0,5.133333333333334,177.98870056497174,0.988826114249843,147.0,0.8166666666666667,75.0,0.4166666666666667,242,240,2
62,1552.0,282.0,9.0,5.0,7.0,5.50354609929078,280.99285714285713,0.9964285714285714,222.0,0.7872340425531915,126.0,0.44680851063829785,344,340,4
63,1111.0,197.0,8.0,5.0,9.0,5.6395939086294415,194.97948717948717,0.9897435897435897,149.0,0.7563451776649747,73.0,0.37055837563451777,226,223,3
64,1118.0,207.0,2.0,8.0,8.0,5.400966183574879,205.3170731707317,0.991869918699187,164.0,0.7922705314009661,83.0,0.40096618357487923,267,263,4
65,594.0,113.0,1.0,2.0,5.0,5.256637168141593,109.98165137614679,0.9732889502313875,81.0,0.7168141592920354,50.0,0.4424778761061947,162,158,1
66,832.0,154.0,4.0,4.0,10.0,5.402597402597403,152.64912280701753,0.9912280701754386,127.0,0.8246753246753247,72.0,0.4675324675324675,206,204,3
67,205.0,37.0,0.0,2.0,3.0,5.54054054054054,35.64705882352941,0.9634340222575517,31.0,0.8378378378378378,17.0,0.4594594594594595,58,59,1
68,1235.0,235.0,9.0,3.0,11.0,5.25531914893617,231.30185979971387,0.9842632331902718,200.0,0.851063829787234,95.0,0.40425531914893614,306,295,4
69,1038.0,190.0,9.0,4.0,17.0,5.463157894736842,189.32624113475177,0.9964539007092198,153.0,0.8052631578947368,76.0,0.4,236,231,3
70,1193.0,223.0,7.0,5.0,14.0,5.349775784753363,221.31825037707392,0.9924585218702866,170.0,0.7623318385650224,100.0,0.4484304932735426,286,285,3
71,423.0,83.0,3.0,2.0,4.0,5.096385542168675,81.65833333333333,0.9838353413654618,71.0,0.8554216867469879,37.0,0.4457831325301205,109,110,1
72,660.0,124.0,3.0,4.0,6.0,5.32258064516129,124.0,1.0,97.0,0.782258064516129,55.0,0.4435483870967742,188,186,3
73,715.0,132.0,5.0,5.0,8.0,5.416666666666667,131.3230769230769,0.9948717948717948,104.0,0.7878787878787878,66.0,0.5,179,179,3
74,907.0,176.0,10.0,4.0,17.0,5.153409090909091,174.98850574712645,0.9942528735632185,148.0,0.8409090909090909,76.0,0.4318181818181818,224,219,2
75,825.0,150.0,0.0,4.0,6.0,5.5,148.64864864864865,0.990990990990991,118.0,0.7866666666666666,68.0,0.4533333333333333,204,202,3
76,543.0,98.0,2.0,5.0,7.0,5.540816326530612,97.31944444444444,0.9930555555555556,75.0,0.7653061224489796,45.0,0.45918367346938777,147,147,3
77,387.0,74.0,1.0,4.0,6.0,5.22972972972973,73.31481481481481,0.9907407407407407,59.0,0.7972972972972973,28.0,0.3783783783783784,89,87,1
78,627.0,118.0,6.0,5.0,4.0,5.313559322033898,118.0,1.0,93.0,0.788135593220339,45.0,0.3813559322033898,172,173,3
79,927.0,171.0,7.0,5.0,8.0,5.421052631578948,169.6508875739645,0.9921104536489151,138.0,0.8070175438596491,70.0,0.4093567251461988,251,247,3
80,1051.0,191.0,1.0,3.0,10.0,5.50261780104712,185.27336860670195,0.9700176366843034,135.0,0.7068062827225131,70.0,0.36649214659685864,267,263,3
81,661.0,128.0,4.0,2.0,10.0,5.1640625,124.98387096774192,0.9764364919354838,105.0,0.8203125,56.0,0.4375,184,180,3
82,970.0,179.0,9.0,2.0,6.0,5.418994413407821,176.98863636363635,0.9887633316404265,134.0,0.7486033519553073,77.0,0.4301675977653631,230,225,3
83,933.0,172.0,1.0,4.0,5.0,5.424418604651163,170.98823529411766,0.9941176470588236,152.0,0.8837209302325582,82.0,0.47674418604651164,223,214,3
84,997.0,183.0,1.0,3.0,11.0,5.448087431693989,180.97790055248618,0.9889502762430938,153.0,0.8360655737704918,80.0,0.4371584699453552,241,236,3
85,720.0,138.0,9.0,2.0,6.0,5.217391304347826,136.66172839506174,0.9903023796743604,109.0,0.7898550724637681,63.0,0.45652173913043476,195,194,2
86,1109.0,198.0,10.0,3.0,8.0,5.601010101010101,196.6530612244898,0.9931972789115646,158.0,0.797979797979798,81.0,0.4090909090909091,244,240,3
87,1040.0,202.0,5.0,6.0,15.0,5.148514851485149,199.30666666666667,0.9866666666666667,164.0,0.8118811881188119,101.0,0.5,236,235,3
88,1243.0,224.0,4.0,5.0,18.0,5.549107142857143,221.64564564564566,0.9894894894894896,186.0,0.8303571428571429,100.0,0.44642857142857145,278,275,3
89,1002.0,193.0,11.0,2.0,12.0,5.191709844559585,190.65263157894736,0.9878374693209708,146.0,0.7564766839378239,70.0,0.3626943005181347,230,222,3
90,995.0,188.0,5.0,4.0,23.0,5.292553191489362,186.98924731182797,0.9946236559139785,158.0,0.8404255319148937,78.0,0.4148936170212766,228,225,3
91,829.0,160.0,3.0,4.0,9.0,5.18125,158.64978902953587,0.9915611814345991,134.0,0.8375,73.0,0.45625,207,204,3
92,1473.0,270.0,4.0,4.0,15.0,5.455555555555556,266.64918851435704,0.9875895870902113,218.0,0.8074074074074075,121.0,0.44814814814814813,302,295,3
93,505.0,90.0,3.0,5.0,4.0,5.611111111111111,88.97727272727273,0.9886363636363638,70.0,0.7777777777777778,35.0,0.3888888888888889,123,120,2
94,1007.0,201.0,2.0,4.0,11.0,5.009950248756219,198.64321608040203,0.9882747068676718,155.0,0.7711442786069652,93.0,0.4626865671641791,218,215,2
95,547.0,111.0,1.0,4.0,6.0,4.927927927927928,109.30275229357798,0.9847094801223242,83.0,0.7477477477477478,37.0,0.3333333333333333,138,140,2
96,914.0,168.0,2.0,3.0,9.0,5.440476190476191,166.65060240963854,0.9919678714859437,145.0,0.8630952380952381,78.0,0.4642857142857143,193,193,4
97,489.0,93.0,2.0,2.0,6.0,5.258064516129032,90.97777777777777,0.9782556750298685,74.0,0.7956989247311828,37.0,0.3978494623655914,142,142,2
98,1046.0,195.0,3.0,2.0,11.0,5.364102564102564,192.31597222222223,0.986235754985755,168.0,0.8615384615384616,104.0,0.5333333333333333,254,249,3
99,961.0,186.0,0.0,5.0,12.0,5.166666666666667,184.65217391304347,0.9927536231884058,156.0,0.8387096774193549,82.0,0.44086021505376344,244,243,4
100,1296.0,240.0,6.0,6.0,14.0,5.4,235.96638655462183,0.9831932773109243,179.0,0.7458333333333333,85.0,0.3541666666666667,268,261,4
101,655.0,117.0,0.0,4.0,6.0,5.598290598290598,116.32173913043478,0.9942028985507246,97.0,0.8290598290598291,55.0,0.4700854700854701,177,178,3
102,722.0,128.0,1.0,2.0,8.0,5.640625,124.968,0.9763125,104.0,0.8125,56.0,0.4375,178,176,3
